"cluster ID","marker gene","myAUC","avg_diff","power","","",""
"GABA1","Kcnmb2","0.878","2.7793881189524","0.756","","",""
"GABA1","Nefl","0.878","1.1555894590517","0.756","","",""
"GABA1","Olfm1","0.878","1.1431902117292","0.756","","",""
"GABA1","Phactr1","0.876","1.1237511478179","0.752","","",""
"GABA1","Fut9","0.87","1.4717011964594","0.74","","",""
"GABA1","Hap1","0.131","-1.2562067089369","0.738","","",""
"GABA1","Fam81a","0.869","1.6633365549453","0.738","","",""
"GABA1","Rgs7bp","0.864","1.6299596108485","0.728","","",""
"GABA1","Nnat","0.139","-3.7090879309348","0.722","","",""
"GABA1","Dnm3","0.854","1.0035256688621","0.708","","",""
"GABA1","Nr2f1","0.854","1.9360977472148","0.708","","",""
"GABA1","Tro","0.147","-1.5153195381347","0.706","","",""
"GABA1","Glrb","0.853","1.1332507879558","0.706","","",""
"GABA1","Meis2","0.852","1.8884050624985","0.704","","",""
"GABA1","Oxr1","0.848","1.3706425728191","0.696","","",""
"GABA1","Serpinf1","0.846","4.4078542286247","0.692","","",""
"GABA1","Klhdc8a","0.845","1.7595748274704","0.69","","",""
"GABA1","Akap7","0.844","1.3430177492791","0.688","","",""
"GABA1","Fign","0.843","3.4636485258133","0.686","","",""
"GABA1","Lynx1","0.843","2.0564134507245","0.686","","",""
"GABA1","Slc6a7","0.842","1.7686985373697","0.684","","",""
"GABA1","Vstm2a","0.842","1.46589426693","0.684","","",""
"GABA1","Dnm1","0.841","1.0114043059087","0.682","","",""
"GABA1","Adcy1","0.84","3.2001037657847","0.68","","",""
"GABA1","Peg3","0.163","-1.123306421885","0.674","","",""
"GABA1","Gm13629","0.837","3.1381744224516","0.674","","",""
"GABA1","Hspa5","0.164","-1.0509451092779","0.672","","",""
"GABA1","Nrip3","0.836","1.3195846656072","0.672","","",""
"GABA1","Lbh","0.833","1.2361895856219","0.666","","",""
"GABA1","Ramp3","0.833","3.125660738932","0.666","","",""
"GABA1","Pnck","0.169","-1.3124628487202","0.662","","",""
"GABA1","Nexn","0.831","1.8531187004286","0.662","","",""
"GABA1","Slc25a33","0.831","1.2134616702454","0.662","","",""
"GABA1","Sec14l1","0.83","1.1534753947697","0.66","","",""
"GABA1","Fgf13","0.828","1.3862560236355","0.656","","",""
"GABA1","Ugcg","0.828","1.6349694319891","0.656","","",""
"GABA1","Celf6","0.173","-1.9974810400147","0.654","","",""
"GABA1","Fos","0.173","-2.0443859298547","0.654","","",""
"GABA1","Scg2","0.173","-1.4016627485163","0.654","","",""
"GABA1","Coq7","0.827","1.0236779651163","0.654","","",""
"GABA1","Fndc4","0.826","1.3445033416175","0.652","","",""
"GABA1","H1f0","0.824","1.3994137560138","0.648","","",""
"GABA1","A730017C20Rik","0.177","-1.1796477016759","0.646","","",""
"GABA1","1700021F05Rik","0.822","1.0935323287362","0.644","","",""
"GABA1","2410004B18Rik","0.822","1.0658717214334","0.644","","",""
"GABA1","Inpp5j","0.821","2.5012302819434","0.642","","",""
"GABA1","Ppif","0.821","1.6124304234157","0.642","","",""
"GABA1","Sh3bp5","0.821","1.0978882385571","0.642","","",""
"GABA1","Zfp804a","0.82","2.3289580994057","0.64","","",""
"GABA1","Dlk1","0.181","-3.0596078494099","0.638","","",""
"GABA1","Slc6a17","0.819","1.1410467069222","0.638","","",""
"GABA1","Spats2l","0.819","1.5525527545213","0.638","","",""
"GABA1","Baiap3","0.182","-1.8906059106405","0.636","","",""
"GABA1","Pkp4","0.817","1.2563741136034","0.634","","",""
"GABA1","Tmem132a","0.817","1.1493675409506","0.634","","",""
"GABA1","Hopx","0.813","2.1612174687286","0.626","","",""
"GABA1","9030425E11Rik","0.811","1.3867130700905","0.622","","",""
"GABA1","Camk2d","0.811","1.0402278570737","0.622","","",""
"GABA1","Osbpl1a","0.811","1.3971444369253","0.622","","",""
"GABA1","Tppp3","0.189","-1.8056559773473","0.622","","",""
"GABA1","Kcnk1","0.81","1.3069163352116","0.62","","",""
"GABA1","Ctxn1","0.191","-2.4210284120674","0.618","","",""
"GABA1","Bai1","0.808","1.1458803888285","0.616","","",""
"GABA1","Sco2","0.808","1.5743371560915","0.616","","",""
"GABA1","Wbscr17","0.808","1.4304542595519","0.616","","",""
