"","x"
"313","Mmp14"
"314","Nhsl1"
"315","Pitpnm2"
"316","Adora2b"
"317","Frzb"
"318","Akap12"
"319","Atp2b4"
"320","Cap2"
"321","Fam5b"
"322","Gpr162"
"323","Grin3a"
"324","Tnfsf12"
"325","Cables1"
"326","Chst7"
"327","Glrx"
"328","Scn1a"
"329","Gfra2"
"330","Clec2l"
"331","Gucy1a2"
"332","Neto1"
"333","Spin2"
"334","Spry4"
"335","St8sia1"
"336","Tshz2"
"337","Adcy3"
"338","B3gnt5"
"339","Cys1"
"340","Mgat5b"
"341","Plekho1"
"342","S1pr2"
"343","Irx1"
"344","Metrnl"
"345","Ppp1r3c"
"346","Syt6"
"347","Cdc42ep4"
"348","Col5a3"
"349","4632428N05Rik"
"350","Cacna2d3"
"351","Cntn6"
"352","Lfng"
"353","Nol4"
"354","Pqlc1"
"355","Ptgfrn"
"356","Six3os1"
"357","Ptprt"
"358","Fam19a1"
"359","Frrs1"
"360","Pde10a"
"361","Ephb3"
"362","Mgat4a"
"363","Nfatc1"
"364","Nrg1"
"365","Ptchd2"
"366","2200002K05Rik"
"367","Extl1"
"368","Irx2"
"369","Ptprr"
"370","Rasl11a"
"371","Arhgap22"
"372","Dclk2"
"373","Hes1"
"374","Kcnh8"
"375","Lingo3"
"376","Slc29a1"
"377","Nog"
"378","Bcl2"
"379","Chrna4"
"380","Fam124a"
"381","Fhl2"
"382","Prkd1"
"383","Rnf182"
"384","Cd276"
"385","Fam111a"
"386","Ltbp4"
"387","Cacng4"
"388","Fam19a4"
"389","Gpc6"
"390","Mcm5"
"391","Mcm6"
"392","S100a4"
"393","Tgfb2"
"394","Ccdc85a"
"395","Eln"
"396","Emp1"
"397","Fbln2"
"398","Slc1a6"
"399","2900079G21Rik"
"400","Adamts10"
"401","Adarb2"
"402","Cacna1d"
"403","Efemp2"
"404","Mcm2"
"405","Mum1l1"
"406","Nat8l"
"407","Nt5e"
"408","Per2"
"409","Syne2"
"410","Nav3"
"411","Cdh4"
"412","Nanos1"
"413","Gucy2f"
"414","Palld"
"415","Shisa7"
"416","Tubb6"
"417","Clec14a"
"418","Iqgap2"
"419","Ppargc1a"
"420","Rab27a"
"421","Dzip1l"
"422","Fgd1"
"423","Krt1"
"424","Rgl3"
"425","Chrm1"
"426","Cwh43"
"427","E230016M11Rik"
"428","Rab11fip5"
"429","Ryr3"
"430","Slc16a12"
"431","Slc22a3"
"432","Zcchc16"
"433","Ankrd29"
"434","Cebpa"
"435","Eya1"
"436","Lor"
"437","Lpp"
"438","Pcdhb10"
"439","Pm20d2"
"440","Tekt4"
"441","Gpr3"
"442","Lmo3"
"443","Ptpru"
"444","Rara"
"445","Rbp1"
"446","Spred3"
"447","Adra1a"
"448","Tmem132e"
"449","Arl5c"
"450","Atp6ap1l"
"451","Celf3"
"452","Pkdcc"
"453","Thrb"
"454","Bmper"
"455","Fam69c"
"456","Ghr"
"457","Klf12"
"458","Cabp1"
"459","Nek8"
"460","Rxrg"
"461","Xylt1"
"462","Chst15"
"463","Plxnc1"
"464","Tmem51"
"465","Adm"
"466","Ccdc37"
"467","Cmpk2"
"468","Fgf14"
"469","Lpl"
"470","Mpp3"
"471","Nptx2"
"472","Prmt8"
"473","Rarg"
"474","Camsap3"
"475","Dach1"
"476","Ets1"
"477","Irx3"
"478","Nkd2"
"479","Phldb2"
"480","Pou2f2"
"481","Ripply2"
"482","Slc14a1"
"483","Slc29a4"
"484","Spred1"
"485","Syce2"
"486","Thnsl2"
"487","Zfpm2"
"488","Add2"
"489","Chrd"
"490","Fam184b"
"491","Galnt3"
"492","Gpr135"
"493","Hapln3"
"494","Kcnab3"
"495","S100a3"
"496","Sncaip"
"497","Tspyl3"
"498","Adamts5"
"499","Ccdc78"
"500","E130215H24Rik"
"501","Gdpd2"
"502","Hectd2"
"503","Sall3"
"504","Slitrk4"
"505","Tmem200a"
"506","2210404O09Rik"
"507","Irx5"
"508","Rnf165"
"509","Zfp711"
"510","Frmd7"
"511","Hells"
"512","I830012O16Rik"
"513","Mtmr11"
"514","Rsad2"
"515","Spred2"
"516","Tor3a"
"517","Alk"
"518","Cntnap5b"
"519","Fstl5"
"520","Igfbp4"
"521","Kcnh5"
"522","Nes"
"523","Otos"
"524","Arhgef6"
"525","Bcl6b"
"526","Dcaf12l2"
"527","Dnahc2"
"528","Egr4"
"529","Gsg1l"
"530","H2-DMa"
"531","Map3k1"
"532","Map3k8"
"533","Rps6ka6"
"534","Slc41a2"
"535","1700003M07Rik"
"536","Atp13a4"
"537","D330050G23Rik"
"538","Pdlim3"
"539","Pim1"
"540","Emp2"
"541","Fam181a"
"542","Hrh1"
"543","Il4ra"
"544","1700113I22Rik"
"545","Ccdc96"
"546","Ccno"
"547","Drp2"
"548","Emid2"
"549","Trerf1"
"550","Frmpd1"
"551","Fstl1"
"552","Fzd1"
"553","Gm4980"
"554","Il6ra"
"555","Inhba"
"556","Lgi2"
"557","Lyn"
"558","Osbpl3"
"559","Ppara"
"560","Trim67"
"561","Tspan11"
"562","Unc5a"
"563","Creb3l1"
"564","Lgr5"
"565","Pde7b"
"566","1700001O22Rik"
"567","Adamts3"
"568","Col4a1"
"569","Dchs1"
"570","Fmnl3"
"571","Lrrc55"
"572","Sh3rf3"
"573","Tes"
"574","Ube2l6"
"575","A630055G03Rik"
"576","Cd70"
"577","A230070E04Rik"
"578","Cand2"
"579","Ikzf4"
"580","Lama4"
"581","Odf3l2"
"582","Rbl1"
"583","Rnf180"
"584","Tchh"
"585","Cd101"
"586","Cdt1"
"587","Dock11"
"588","Gm20554"
"589","Prr16"
"590","Ptges"
"591","Rarb"
"592","Sgcz"
"593","Xkr5"
"594","3930402G23Rik"
"595","Elk3"
"596","Itga8"
"597","Parp16"
"598","4430402I18Rik"
"599","9330179D12Rik"
"600","AF529169"
"601","Cish"
"602","Creb3l3"
"603","Dtl"
"604","Fat4"
"605","Fndc1"
"606","Gm5468"
"607","Gpnmb"
"608","LOC622552"
"609","Pnlip"
"610","Rhcg"
"611","4833422C13Rik"
"612","Bcl11b"
"613","D630003M21Rik"
"614","Dusp4"
"615","Eif4ebp1"
"616","Shh"
"617","2810417H13Rik"
"618","B230209K01Rik"
"619","Dram1"
"620","Emx2"
"621","Gm11837"
"622","Phf19"
"623","Spnb1"
"624","Trip13"
"625","1700064M15Rik"
"626","C2cd4b"
"627","Fam135b"
"628","Gm11744"
"629","Igtp"
"630","Irx6"
"631","Lrp5"
"632","Parp9"
"633","Cenph"
"634","Tcf19"
"635","Bves"
"636","Emx2os"
"637","Rad51ap1"
